h,v,BurnedCells,month,year
10.0,2.0,15.88,10.0,2058.0
10.0,2.0,6.63,11.0,2058.0
10.0,2.0,583.89,12.0,2058.0
10.0,2.0,22.86,1.0,2059.0
10.0,2.0,0.54,2.0,2059.0
10.0,2.0,363.02,3.0,2059.0
10.0,2.0,2.26,4.0,2059.0
10.0,2.0,10.97,5.0,2059.0
10.0,2.0,111.95,6.0,2059.0
10.0,2.0,453.08,7.0,2059.0
10.0,2.0,208.69,8.0,2059.0
10.0,2.0,43.08,9.0,2059.0
10.0,2.0,78.03,10.0,2059.0
10.0,2.0,325.65,11.0,2059.0
10.0,2.0,0.48,12.0,2059.0
10.0,2.0,1.42,1.0,2060.0
10.0,2.0,1.54,2.0,2060.0
10.0,2.0,2.37,3.0,2060.0
10.0,2.0,577.41,4.0,2060.0
10.0,2.0,12.11,5.0,2060.0
10.0,2.0,429.09,6.0,2060.0
10.0,2.0,275.82,7.0,2060.0
10.0,2.0,201.19,8.0,2060.0
10.0,2.0,68.27,9.0,2060.0
10.0,2.0,37.02,10.0,2060.0
10.0,2.0,1.13,11.0,2060.0
10.0,2.0,11.52,12.0,2060.0
10.0,2.0,44.04,1.0,2091.0
10.0,2.0,6.15,2.0,2091.0
10.0,2.0,2.56,3.0,2091.0
10.0,2.0,30.83,4.0,2091.0
10.0,2.0,19.48,5.0,2091.0
10.0,2.0,196.4,6.0,2091.0
10.0,2.0,572.67,7.0,2091.0
10.0,2.0,1126.81,8.0,2091.0
10.0,2.0,86.92,9.0,2091.0
10.0,2.0,0.0,10.0,2091.0
10.0,2.0,2.26,11.0,2091.0
10.0,2.0,26.33,12.0,2091.0
10.0,2.0,6.58,1.0,2092.0
10.0,2.0,2.37,2.0,2092.0
10.0,2.0,307.83,3.0,2092.0
10.0,2.0,2.26,4.0,2092.0
10.0,2.0,33.86,5.0,2092.0
10.0,2.0,72.76,6.0,2092.0
10.0,2.0,264.94,7.0,2092.0
10.0,2.0,270.62,8.0,2092.0
10.0,2.0,113.9,9.0,2092.0
10.0,2.0,19.88,10.0,2092.0
10.0,2.0,386.6,11.0,2092.0
10.0,2.0,373.15,12.0,2092.0
10.0,2.0,317.77,1.0,2093.0
10.0,2.0,0.0,2.0,2093.0
10.0,2.0,26.83,3.0,2093.0
10.0,2.0,59.82,4.0,2093.0
10.0,2.0,18.47,5.0,2093.0
10.0,2.0,394.67,6.0,2093.0
10.0,2.0,436.92,7.0,2093.0
10.0,2.0,248.26,8.0,2093.0
10.0,2.0,108.6,9.0,2093.0
10.0,2.0,330.11,10.0,2093.0
10.0,2.0,316.54,11.0,2093.0
10.0,2.0,2.63,12.0,2093.0
10.0,2.0,0.0,1.0,2094.0
10.0,2.0,2.68,2.0,2094.0
10.0,2.0,3.08,3.0,2094.0
10.0,2.0,322.06,4.0,2094.0
10.0,2.0,16.68,5.0,2094.0
10.0,2.0,461.14,6.0,2094.0
10.0,2.0,202.78,7.0,2094.0
10.0,2.0,279.73,8.0,2094.0
10.0,2.0,18.98,9.0,2094.0
10.0,2.0,336.64,10.0,2094.0
10.0,2.0,323.7,11.0,2094.0
10.0,2.0,48.48,12.0,2094.0
10.0,2.0,6.15,1.0,2095.0
10.0,2.0,0.0,2.0,2095.0
10.0,2.0,2.56,3.0,2095.0
10.0,2.0,353.73,4.0,2095.0
10.0,2.0,16.22,5.0,2095.0
10.0,2.0,43.44,6.0,2095.0
10.0,2.0,399.87,7.0,2095.0
10.0,2.0,352.08,8.0,2095.0
10.0,2.0,59.52,9.0,2095.0
10.0,2.0,319.47,10.0,2095.0
10.0,2.0,305.54,11.0,2095.0
10.0,2.0,129.51,12.0,2095.0
10.0,2.0,20.5,1.0,2096.0
10.0,2.0,0.0,2.0,2096.0
10.0,2.0,2.5,3.0,2096.0
10.0,2.0,0.48,4.0,2096.0
10.0,2.0,32.36,5.0,2096.0
10.0,2.0,58.61,6.0,2096.0
10.0,2.0,423.54,7.0,2096.0
10.0,2.0,235.04,8.0,2096.0
10.0,2.0,95.04,9.0,2096.0
10.0,2.0,0.0,10.0,2096.0
10.0,2.0,305.15,11.0,2096.0
10.0,2.0,2.37,12.0,2096.0
10.0,2.0,0.87,1.0,2097.0
10.0,2.0,64.8,2.0,2097.0
10.0,2.0,305.15,3.0,2097.0
10.0,2.0,318.06,4.0,2097.0
10.0,2.0,59.94,5.0,2097.0
10.0,2.0,203.5,6.0,2097.0
10.0,2.0,461.55,7.0,2097.0
10.0,2.0,292.27,8.0,2097.0
10.0,2.0,195.78,9.0,2097.0
10.0,2.0,60.78,10.0,2097.0
10.0,2.0,11.8,11.0,2097.0
10.0,2.0,2.36,12.0,2097.0
10.0,2.0,20.5,1.0,2098.0
10.0,2.0,0.0,2.0,2098.0
10.0,2.0,29.5,3.0,2098.0
10.0,2.0,316.51,4.0,2098.0
10.0,2.0,31.48,5.0,2098.0
10.0,2.0,44.55,6.0,2098.0
10.0,2.0,260.89,7.0,2098.0
10.0,2.0,216.2,8.0,2098.0
10.0,2.0,86.82,9.0,2098.0
10.0,2.0,12.39,10.0,2098.0
10.0,2.0,0.87,11.0,2098.0
10.0,2.0,2.43,12.0,2098.0
10.0,2.0,0.0,1.0,2099.0
10.0,2.0,0.54,2.0,2099.0
10.0,2.0,2.1,3.0,2099.0
10.0,2.0,321.45,4.0,2099.0
10.0,2.0,32.51,5.0,2099.0
10.0,2.0,35.92,6.0,2099.0
10.0,2.0,316.92,7.0,2099.0
10.0,2.0,857.29,8.0,2099.0
10.0,2.0,63.76,9.0,2099.0
10.0,2.0,59.81,10.0,2099.0
10.0,2.0,20.01,11.0,2099.0
10.0,2.0,18.79,12.0,2099.0
10.0,2.0,38.5,1.0,2100.0
10.0,2.0,0.0,2.0,2100.0
10.0,2.0,325.65,3.0,2100.0
10.0,2.0,324.4,4.0,2100.0
10.0,2.0,38.85,5.0,2100.0
10.0,2.0,70.92,6.0,2100.0
10.0,2.0,312.95,7.0,2100.0
10.0,2.0,196.78,8.0,2100.0
10.0,2.0,48.09,9.0,2100.0
10.0,2.0,52.11,10.0,2100.0
10.0,2.0,352.36,11.0,2100.0
10.0,2.0,352.94,12.0,2100.0
11.0,2.0,5285.98,1.0,2051.0
11.0,2.0,63.44,2.0,2051.0
11.0,2.0,31.83,3.0,2051.0
11.0,2.0,464.51,4.0,2051.0
11.0,2.0,809.06,5.0,2051.0
11.0,2.0,1164.84,6.0,2051.0
11.0,2.0,2062.98,7.0,2051.0
11.0,2.0,979.35,8.0,2051.0
11.0,2.0,1105.09,9.0,2051.0
11.0,2.0,1910.8,10.0,2051.0
11.0,2.0,433.99,11.0,2051.0
11.0,2.0,2609.72,12.0,2051.0
11.0,2.0,51.85,1.0,2052.0
11.0,2.0,8.18,2.0,2052.0
11.0,2.0,33.45,3.0,2052.0
11.0,2.0,981.5,4.0,2052.0
11.0,2.0,1112.0,5.0,2052.0
11.0,2.0,2557.3,6.0,2052.0
11.0,2.0,771.34,7.0,2052.0
11.0,2.0,7039.37,8.0,2052.0
11.0,2.0,1314.6,9.0,2052.0
11.0,2.0,90.22,10.0,2052.0
11.0,2.0,48.2,11.0,2052.0
11.0,2.0,48.21,12.0,2052.0
11.0,2.0,55.67,1.0,2053.0
11.0,2.0,56.21,2.0,2053.0
11.0,2.0,216.72,3.0,2053.0
11.0,2.0,1704.17,4.0,2053.0
11.0,2.0,746.59,5.0,2053.0
11.0,2.0,1601.72,6.0,2053.0
11.0,2.0,1516.77,7.0,2053.0
11.0,2.0,1592.88,8.0,2053.0
11.0,2.0,1500.07,9.0,2053.0
11.0,2.0,2065.41,10.0,2053.0
11.0,2.0,684.37,11.0,2053.0
11.0,2.0,442.11,12.0,2053.0
11.0,2.0,69.77,1.0,2054.0
11.0,2.0,928.75,2.0,2054.0
11.0,2.0,150.1,3.0,2054.0
11.0,2.0,824.07,4.0,2054.0
11.0,2.0,678.62,5.0,2054.0
11.0,2.0,2013.29,6.0,2054.0
11.0,2.0,1607.97,7.0,2054.0
11.0,2.0,1047.91,8.0,2054.0
11.0,2.0,1469.11,9.0,2054.0
11.0,2.0,4855.31,10.0,2054.0
11.0,2.0,276.13,11.0,2054.0
11.0,2.0,471.3,12.0,2054.0
11.0,2.0,8.18,1.0,2055.0
11.0,2.0,238.14,2.0,2055.0
11.0,2.0,55.0,3.0,2055.0
11.0,2.0,343.12,4.0,2055.0
11.0,2.0,800.39,5.0,2055.0
11.0,2.0,1857.9,6.0,2055.0
11.0,2.0,1276.16,7.0,2055.0
11.0,2.0,1037.05,8.0,2055.0
11.0,2.0,1392.49,9.0,2055.0
11.0,2.0,1722.29,10.0,2055.0
11.0,2.0,2814.85,11.0,2055.0
11.0,2.0,179.72,12.0,2055.0
11.0,2.0,405.67,1.0,2056.0
11.0,2.0,1010.58,2.0,2056.0
11.0,2.0,93.62,3.0,2056.0
11.0,2.0,159.79,4.0,2056.0
11.0,2.0,1063.41,5.0,2056.0
11.0,2.0,1836.58,6.0,2056.0
11.0,2.0,1103.56,7.0,2056.0
11.0,2.0,1177.44,8.0,2056.0
11.0,2.0,1459.43,9.0,2056.0
11.0,2.0,1324.66,10.0,2056.0
11.0,2.0,252.83,11.0,2056.0
11.0,2.0,4108.1,12.0,2056.0
11.0,2.0,822.38,1.0,2057.0
11.0,2.0,657.98,2.0,2057.0
11.0,2.0,195.0,3.0,2057.0
11.0,2.0,112.79,4.0,2057.0
11.0,2.0,665.99,5.0,2057.0
11.0,2.0,1919.17,6.0,2057.0
11.0,2.0,7811.52,7.0,2057.0
11.0,2.0,1398.93,8.0,2057.0
11.0,2.0,1051.99,9.0,2057.0
11.0,2.0,2336.91,10.0,2057.0
11.0,2.0,256.53,11.0,2057.0
11.0,2.0,422.26,12.0,2057.0
11.0,2.0,61.21,1.0,2058.0
11.0,2.0,881.06,2.0,2058.0
11.0,2.0,69.96,3.0,2058.0
11.0,2.0,33.76,4.0,2058.0
11.0,2.0,752.26,5.0,2058.0
11.0,2.0,1625.98,6.0,2058.0
11.0,2.0,2522.87,7.0,2058.0
11.0,2.0,1532.55,8.0,2058.0
11.0,2.0,1357.83,9.0,2058.0
11.0,2.0,908.36,10.0,2058.0
11.0,2.0,55.09,11.0,2058.0
11.0,2.0,22.44,12.0,2058.0
11.0,2.0,58.1,1.0,2059.0
11.0,2.0,72.9,2.0,2059.0
11.0,2.0,223.38,3.0,2059.0
11.0,2.0,326.05,4.0,2059.0
11.0,2.0,533.74,5.0,2059.0
11.0,2.0,1241.52,6.0,2059.0
11.0,2.0,4486.75,7.0,2059.0
11.0,2.0,1643.49,8.0,2059.0
11.0,2.0,3222.27,9.0,2059.0
11.0,2.0,374.55,10.0,2059.0
11.0,2.0,1187.61,11.0,2059.0
11.0,2.0,78.04,12.0,2059.0
11.0,2.0,42.8,1.0,2060.0
11.0,2.0,51.77,2.0,2060.0
11.0,2.0,71.71,3.0,2060.0
11.0,2.0,787.36,4.0,2060.0
11.0,2.0,488.62,5.0,2060.0
11.0,2.0,1693.25,6.0,2060.0
11.0,2.0,12013.47,7.0,2060.0
11.0,2.0,1376.21,8.0,2060.0
11.0,2.0,1271.61,9.0,2060.0
11.0,2.0,2522.34,10.0,2060.0
11.0,2.0,2481.48,11.0,2060.0
11.0,2.0,52.3,12.0,2060.0
11.0,2.0,181.5,1.0,2091.0
11.0,2.0,16.36,2.0,2091.0
11.0,2.0,75.71,3.0,2091.0
11.0,2.0,165.92,4.0,2091.0
11.0,2.0,1780.4,5.0,2091.0
11.0,2.0,1815.55,6.0,2091.0
11.0,2.0,6160.59,7.0,2091.0
11.0,2.0,1598.5,8.0,2091.0
11.0,2.0,1140.1,9.0,2091.0
11.0,2.0,1280.45,10.0,2091.0
11.0,2.0,74.74,11.0,2091.0
11.0,2.0,709.44,12.0,2091.0
11.0,2.0,716.82,1.0,2092.0
11.0,2.0,181.07,2.0,2092.0
11.0,2.0,59.84,3.0,2092.0
11.0,2.0,249.16,4.0,2092.0
11.0,2.0,788.41,5.0,2092.0
